open_covid_region_code,date,hospitalized_new
US-MT,2020-08-10,0.0
US-MT,2020-08-17,0.0
US-MT,2020-08-24,8.0
US-MT,2020-08-31,16.0
US-MT,2020-09-07,23.0
US-MT,2020-09-14,8.0
US-MT,2020-09-21,6.0
US-MT,2020-09-28,0.0
US-MT,2020-10-05,1.0
US-MT,2020-10-12,1.0
US-MT,2020-10-19,2.0
US-MT,2020-10-26,2.0
US-MT,2020-11-02,2.0
US-MT,2020-11-09,8.0
US-MT,2020-11-16,12.0
US-MT,2020-11-23,8.0
US-MT,2020-11-30,15.0
US-MT,2020-12-07,16.0
US-MT,2020-12-14,37.0
US-MT,2020-12-21,34.0
US-MT,2020-12-28,34.0
US-MT,2021-01-04,39.0
US-MT,2021-01-11,54.0
US-MT,2021-01-18,53.0
US-MT,2021-01-25,53.0
US-MT,2021-02-01,54.0
US-MT,2021-02-08,39.0
US-MT,2021-02-15,45.0
US-MT,2021-02-22,117.0
US-MT,2021-03-01,57.0
US-MT,2021-03-08,107.0
US-ND,2020-08-03,0.0
US-ND,2020-08-10,0.0
US-ND,2020-08-17,3.0
US-ND,2020-08-24,14.0
US-ND,2020-08-31,14.0
US-ND,2020-09-07,8.0
US-ND,2020-09-14,12.0
US-ND,2020-09-21,20.0
US-ND,2020-09-28,19.0
US-ND,2020-10-05,20.0
US-ND,2020-10-12,20.0
US-ND,2020-10-19,22.0
US-ND,2020-10-26,15.0
US-ND,2020-11-02,16.0
US-ND,2020-11-09,14.0
US-ND,2020-11-16,19.0
US-ND,2020-11-23,10.0
US-ND,2020-11-30,16.0
US-ND,2020-12-07,29.0
US-ND,2020-12-14,31.0
US-ND,2020-12-21,31.0
US-ND,2020-12-28,38.0
US-ND,2021-01-04,44.0
US-ND,2021-01-11,44.0
US-ND,2021-01-18,42.0
US-ND,2021-01-25,53.0
US-ND,2021-02-01,44.0
US-ND,2021-02-08,45.0
US-ND,2021-02-15,80.0
US-ND,2021-02-22,92.0
US-ND,2021-03-01,110.0
US-ND,2021-03-08,91.0
US-NE,2020-08-03,0.0
US-NE,2020-08-10,0.0
US-NE,2020-08-17,0.0
US-NE,2020-08-24,0.0
US-NE,2020-08-31,0.0
US-NE,2020-09-07,0.0
US-NE,2020-09-14,0.0
US-NE,2020-09-21,0.0
US-NE,2020-09-28,0.0
US-NE,2020-10-05,0.0
US-NE,2020-10-12,0.0
US-NE,2020-10-19,0.0
US-NE,2020-10-26,0.0
US-NE,2020-11-02,928.0
US-NE,2020-11-09,142.0
US-NE,2020-11-16,142.0
US-NE,2020-11-23,103.0
US-NE,2020-11-30,53.0
US-NE,2020-12-07,53.0
US-NE,2020-12-14,60.0
US-NE,2020-12-21,86.0
US-NE,2020-12-28,62.0
US-NE,2021-01-04,86.0
US-NE,2021-01-11,168.0
US-NE,2021-01-18,24.0
US-NE,2021-01-25,85.0
US-NE,2021-02-01,73.0
US-NE,2021-02-08,72.0
US-NE,2021-02-15,57.0
US-NE,2021-02-22,85.0
US-NE,2021-03-01,109.0
US-NE,2021-03-08,80.0
US-NH,2020-08-03,0.0
US-NH,2020-08-10,0.0
US-NH,2020-08-17,0.0
US-NH,2020-08-24,33.0
US-NH,2020-08-31,53.0
US-NH,2020-09-07,60.0
US-NH,2020-09-14,46.0
US-NH,2020-09-21,46.0
US-NH,2020-09-28,39.0
US-NH,2020-10-05,36.0
US-NH,2020-10-12,34.0
US-NH,2020-10-19,72.0
US-NH,2020-10-26,30.0
US-NH,2020-11-02,38.0
US-NH,2020-11-09,26.0
US-NH,2020-11-16,38.0
US-NH,2020-11-23,11.0
US-NH,2020-11-30,7.0
US-NH,2020-12-07,20.0
US-NH,2020-12-14,84.0
US-NH,2020-12-21,15.0
US-NH,2020-12-28,7.0
US-NH,2021-01-04,6.0
US-NH,2021-01-11,7.0
US-NH,2021-01-18,3.0
